flake_id,fall_time,flake_type
1,12/24/2025 8:15,Stellar Dendrite
2,12/24/2025 8:17,Plate Crystal
3,12/24/2025 8:22,Stellar Dendrite
4,12/24/2025 8:28,Needle
5,12/24/2025 8:35,Column
6,12/24/2025 9:12,Stellar Dendrite
7,12/24/2025 9:18,Sectored Plate
8,12/24/2025 9:24,Plate Crystal
9,12/24/2025 9:41,Capped Column
10,12/24/2025 10:03,Needle
11,12/24/2025 10:17,Stellar Dendrite
12,12/24/2025 10:29,Fernlike Stellar
13,12/24/2025 11:05,Column
14,12/24/2025 11:22,Plate Crystal
15,12/24/2025 11:48,Stellar Dendrite
16,12/24/2025 12:14,Rimed Crystal
17,12/24/2025 12:33,Sectored Plate
18,12/24/2025 13:07,Capped Column
19,12/24/2025 13:29,Needle
20,12/24/2025 14:11,Stellar Dendrite
21,12/24/2025 14:38,Fernlike Stellar
22,12/24/2025 15:02,Column
23,12/24/2025 15:27,Plate Crystal
24,12/24/2025 16:13,Rimed Crystal
25,12/24/2025 16:45,Stellar Dendrite
26,12/24/2025 17:19,Capped Column
27,12/24/2025 17:52,Sectored Plate
28,12/23/2025 22:34,Needle
