prank_id,created_at,target_name,evilness_score,prank_description
1,11/1/2024 8:00,Mayor,7,Replace his toupee with a bird's nest
2,11/3/2024 10:30,Mayor,9,Steal all his ceremonial sashes
3,11/5/2024 14:20,Mayor,5,Fill his office with Christmas carolers at 5am
4,11/2/2024 9:15,Cindy-Lou,3,Hide all her hair ribbons
5,11/4/2024 11:00,Cindy-Lou,6,Replace her hot cocoa with pickle juice
6,11/1/2024 7:30,Toy Factory,10,Reverse all the assembly line directions
7,11/6/2024 16:45,Toy Factory,8,Replace toy stuffing with onions
8,11/2/2024 13:20,Post Office,9,Mix up all the address labels
9,11/7/2024 10:00,Post Office,6,Replace stamps with stickers that say 'Bah Humbug'
10,11/3/2024 18:30,Town Square,10,Remove all the Christmas lights
11,11/8/2024 12:15,Town Square,10,Replace the Christmas tree with a cactus
12,11/4/2024 6:45,Bakery,8,Replace sugar with salt in all recipes
13,11/5/2024 15:30,Bakery,7,Steal all the gingerbread men
14,11/9/2024 8:00,Bakery,5,Paint all the cookies green
15,11/6/2024 9:30,Church Choir,6,Replace hymn books with phone books
16,11/7/2024 14:00,Church Choir,9,Train Max to howl during performances
17,11/8/2024 7:15,School,4,Replace all chalk with soap
18,11/9/2024 11:45,School,7,Change all clocks to show wrong time
19,11/10/2024 13:00,Mayor,9,Swap his speech with a recipe for roast beast
20,11/10/2024 16:30,Cindy-Lou,10,Tell her Santa isn't real
